,zinc_id,smiles,Molecule Name,ROMol
67,ZINC000008101127,CC1(C)C(C=C/C=C\C=C/C=C2/N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc3ccccc3c21,"1-[(1S)-1-[(1R)-2-[(4-fluorophenyl)methyl]-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-2-ium-1-yl]ethyl]-3-propan-2-ylurea",<rdkit.Chem.rdchem.Mol object at 0x0000019233209200>
68,ZINC000013587680,CC#CC[C@H](C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,"1,2-bis(dimethoxymethyl)benzene",<rdkit.Chem.rdchem.Mol object at 0x0000019233209270>
69,ZINC000028108825,O=C(O)CN(CCN(CC(=O)O)C[C@H](CO[P@](=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,(1S)-1-[2-(difluoromethoxy)phenyl]-2-(4-fluorophenoxy)ethanamine,<rdkit.Chem.rdchem.Mol object at 0x00000192332092E0>
70,ZINC000100013500,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,"ethyl (1S,2S,3S)-1-amino-2-ethylsulfonyl-3-(4-methylphenyl)cyclopropane-1-carboxylate",<rdkit.Chem.rdchem.Mol object at 0x0000019233209350>
71,ZINC000003833846,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,"4-(3-chlorophenyl)-N-(2,3-dimethylphenyl)-6-methyl-2-sulfanylidene-3,4-dihydro-1H-pyrimidine-5-carboxamide",<rdkit.Chem.rdchem.Mol object at 0x00000192332093C0>
72,ZINC000003927200,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,[2-(4-benzylpiperidin-1-yl)-2-oxoethyl] 2-(furan-2-carbonylamino)benzoate,<rdkit.Chem.rdchem.Mol object at 0x0000019233209430>
73,ZINC000008214635,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,"[(2R)-1-anilino-1-oxopropan-2-yl] 2-(2,5-difluorophenyl)sulfanylacetate",<rdkit.Chem.rdchem.Mol object at 0x00000192332094A0>
74,ZINC000012360535,NNc1nncc2ccccc12,"1,1',1'-trichloro-10-methylspiro[11-oxatricyclo[8.1.1.03,8]dodeca-3,5,7-triene-12,2'-cyclopropane]-2,9-dione",<rdkit.Chem.rdchem.Mol object at 0x0000019233209510>
75,ZINC000019364219,CC[C@@H](CO)NCCN[C@@H](CC)CO,"sodium;(Z)-2-(2,1,3-benzothiadiazol-5-yl)-3-(cyclohexylmethyl)-4-oxo-4-(4-propan-2-yloxyphenyl)but-2-enoate",<rdkit.Chem.rdchem.Mol object at 0x0000019233209580>
76,ZINC000003813010,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,"2-amino-4-(4-ethoxyphenyl)-1-(4-fluorophenyl)-5-oxo-4,6,7,8-tetrahydroquinoline-3-carbonitrile",<rdkit.Chem.rdchem.Mol object at 0x00000192332095F0>
